method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
subsample,3,64,False,hard,30,ID3,0.4,3,0.5333333333333333
subsample,3,64,False,hard,30,ID3,0.4,4,0.4
subsample,3,64,False,hard,30,ID3,0.4,5,0.4666666666666667
subsample,3,64,False,hard,30,ID3,0.4,6,0.3333333333333333
subsample,3,64,False,hard,30,ID3,0.4,7,0.26666666666666666
subsample,3,64,False,hard,30,ID3,0.4,8,0.43333333333333335
subsample,3,64,False,hard,30,ID3,0.4,9,0.4
subsample,3,64,False,hard,30,ID3,0.6,0,0.36666666666666664
subsample,3,64,False,hard,30,ID3,0.6,1,0.4666666666666667
subsample,3,64,False,hard,30,ID3,0.6,2,0.26666666666666666
subsample,3,64,False,hard,30,ID3,0.6,3,0.43333333333333335
subsample,3,64,False,hard,30,ID3,0.6,4,0.3333333333333333
subsample,3,64,False,hard,30,ID3,0.6,5,0.4
subsample,3,64,False,hard,30,ID3,0.6,6,0.4666666666666667
subsample,3,64,False,hard,30,ID3,0.6,7,0.26666666666666666
subsample,3,64,False,hard,30,ID3,0.6,8,0.3
subsample,3,64,False,hard,30,ID3,0.6,9,0.43333333333333335
subsample,3,64,False,hard,30,ID3,0.8,0,0.3333333333333333
subsample,3,64,False,hard,30,ID3,0.8,1,0.43333333333333335
subsample,3,64,False,hard,30,ID3,0.8,2,0.3333333333333333
subsample,3,64,False,hard,30,ID3,0.8,3,0.4666666666666667
subsample,3,64,False,hard,30,ID3,0.8,4,0.4
subsample,3,64,False,hard,30,ID3,0.8,5,0.3333333333333333
subsample,3,64,False,hard,30,ID3,0.8,6,0.4
subsample,3,64,False,hard,30,ID3,0.8,7,0.36666666666666664
subsample,3,64,False,hard,30,ID3,0.8,8,0.16666666666666666
subsample,3,64,False,hard,30,ID3,0.8,9,0.4
subsample,3,64,False,hard,30,ID3,1.0,0,0.4666666666666667
subsample,3,64,False,hard,30,ID3,1.0,1,0.43333333333333335
subsample,3,64,False,hard,30,ID3,1.0,2,0.3333333333333333
subsample,3,64,False,hard,30,ID3,1.0,3,0.4
subsample,3,64,False,hard,30,ID3,1.0,4,0.26666666666666666
subsample,3,64,False,hard,30,ID3,1.0,5,0.36666666666666664
subsample,3,64,False,hard,30,ID3,1.0,6,0.36666666666666664
subsample,3,64,False,hard,30,ID3,1.0,7,0.3
subsample,3,64,False,hard,30,ID3,1.0,8,0.4
subsample,3,64,False,hard,30,ID3,1.0,9,0.36666666666666664
subsample,3,64,False,hard,30,ID3,2.0,0,0.36666666666666664
subsample,3,64,False,hard,30,ID3,2.0,1,0.36666666666666664
subsample,3,64,False,hard,30,ID3,2.0,2,0.5333333333333333
subsample,3,64,False,hard,30,ID3,2.0,3,0.23333333333333334
subsample,3,64,False,hard,30,ID3,2.0,4,0.23333333333333334
subsample,3,64,False,hard,30,ID3,2.0,5,0.36666666666666664
subsample,3,64,False,hard,30,ID3,2.0,6,0.43333333333333335
subsample,3,64,False,hard,30,ID3,2.0,7,0.4666666666666667
subsample,3,64,False,hard,30,ID3,2.0,8,0.3333333333333333
subsample,3,64,False,hard,30,ID3,2.0,9,0.36666666666666664
subsample,3,64,True,weight,30,ID3,0.4,0,0.43333333333333335
subsample,3,64,True,weight,30,ID3,0.4,1,0.6
subsample,3,64,True,weight,30,ID3,0.4,2,0.4
subsample,3,64,True,weight,30,ID3,0.4,3,0.5333333333333333
subsample,3,64,True,weight,30,ID3,0.4,4,0.16666666666666666
subsample,3,64,True,weight,30,ID3,0.4,5,0.4666666666666667
subsample,3,64,True,weight,30,ID3,0.4,6,0.4666666666666667
subsample,3,64,True,weight,30,ID3,0.4,7,0.6666666666666666
subsample,3,64,True,weight,30,ID3,0.4,8,0.4
subsample,3,64,True,weight,30,ID3,0.4,9,0.3333333333333333
subsample,3,64,True,weight,30,ID3,0.6,0,0.2
subsample,3,64,True,weight,30,ID3,0.6,1,0.36666666666666664
subsample,3,64,True,weight,30,ID3,0.6,2,0.2
subsample,3,64,True,weight,30,ID3,0.6,3,0.5666666666666667
subsample,3,64,True,weight,30,ID3,0.6,4,0.5
subsample,3,64,True,weight,30,ID3,0.6,5,0.5333333333333333
subsample,3,64,True,weight,30,ID3,0.6,6,0.6333333333333333
subsample,3,64,True,weight,30,ID3,0.6,7,0.5666666666666667
subsample,3,64,True,weight,30,ID3,0.6,8,0.3
subsample,3,64,True,weight,30,ID3,0.6,9,0.6666666666666666
subsample,3,64,True,weight,30,ID3,0.8,0,0.3333333333333333
subsample,3,64,True,weight,30,ID3,0.8,1,0.6333333333333333
subsample,3,64,True,weight,30,ID3,0.8,2,0.4666666666666667
subsample,3,64,True,weight,30,ID3,0.8,3,0.6
subsample,3,64,True,weight,30,ID3,0.8,4,0.6
subsample,3,64,True,weight,30,ID3,0.8,5,0.6
subsample,3,64,True,weight,30,ID3,0.8,6,0.6333333333333333
subsample,3,64,True,weight,30,ID3,0.8,7,0.6
subsample,3,64,True,weight,30,ID3,0.8,8,0.5333333333333333
subsample,3,64,True,weight,30,ID3,0.8,9,0.16666666666666666
subsample,3,64,True,weight,30,ID3,1.0,0,0.5333333333333333
subsample,3,64,True,weight,30,ID3,1.0,1,0.5
subsample,3,64,True,weight,30,ID3,1.0,2,0.36666666666666664
subsample,3,64,True,weight,30,ID3,1.0,3,0.5333333333333333
subsample,3,64,True,weight,30,ID3,1.0,4,0.6
subsample,3,64,True,weight,30,ID3,1.0,5,0.5666666666666667
subsample,3,64,True,weight,30,ID3,1.0,6,0.6333333333333333
subsample,3,64,True,weight,30,ID3,1.0,7,0.6666666666666666
subsample,3,64,True,weight,30,ID3,1.0,8,0.8333333333333334
subsample,3,64,True,weight,30,ID3,1.0,9,0.43333333333333335
subsample,3,64,True,weight,30,ID3,2.0,0,0.7333333333333333
subsample,3,64,True,weight,30,ID3,2.0,1,0.8666666666666667
subsample,3,64,True,weight,30,ID3,2.0,2,0.8
subsample,3,64,True,weight,30,ID3,2.0,3,0.7
subsample,3,64,True,weight,30,ID3,2.0,4,0.8
subsample,3,64,True,weight,30,ID3,2.0,5,0.6
subsample,3,64,True,weight,30,ID3,2.0,6,0.8
subsample,3,64,True,weight,30,ID3,2.0,7,0.9
subsample,3,64,True,weight,30,ID3,2.0,8,0.7333333333333333
subsample,3,64,True,weight,30,ID3,2.0,9,0.7666666666666667
subsample,3,64,False,weight,30,ID3,0.4,0,0.3
subsample,3,64,False,weight,30,ID3,0.4,1,0.36666666666666664
subsample,3,64,False,weight,30,ID3,0.4,2,0.43333333333333335
subsample,3,64,False,weight,30,ID3,0.4,3,0.4
subsample,3,64,False,weight,30,ID3,0.4,4,0.26666666666666666
subsample,3,64,False,weight,30,ID3,0.4,5,0.3333333333333333
subsample,3,64,False,weight,30,ID3,0.4,6,0.5333333333333333
subsample,3,64,False,weight,30,ID3,0.4,7,0.36666666666666664
subsample,3,64,False,weight,30,ID3,0.4,8,0.36666666666666664
subsample,3,64,False,weight,30,ID3,0.4,9,0.36666666666666664
subsample,3,64,False,weight,30,ID3,0.6,0,0.4
subsample,3,64,False,weight,30,ID3,0.6,1,0.4666666666666667
subsample,3,64,False,weight,30,ID3,0.6,2,0.4
subsample,3,64,False,weight,30,ID3,0.6,3,0.43333333333333335
subsample,3,64,False,weight,30,ID3,0.6,4,0.36666666666666664
subsample,3,64,False,weight,30,ID3,0.6,5,0.4
subsample,3,64,False,weight,30,ID3,0.6,6,0.4
subsample,3,64,False,weight,30,ID3,0.6,7,0.26666666666666666
subsample,3,64,False,weight,30,ID3,0.6,8,0.5
subsample,3,64,False,weight,30,ID3,0.6,9,0.3333333333333333
subsample,3,64,False,weight,30,ID3,0.8,0,0.43333333333333335
subsample,3,64,False,weight,30,ID3,0.8,1,0.36666666666666664
subsample,3,64,False,weight,30,ID3,0.8,2,0.3333333333333333
subsample,3,64,False,weight,30,ID3,0.8,3,0.3333333333333333
subsample,3,64,False,weight,30,ID3,0.8,4,0.36666666666666664
subsample,3,64,False,weight,30,ID3,0.8,5,0.4
subsample,3,64,False,weight,30,ID3,0.8,6,0.43333333333333335
subsample,3,64,False,weight,30,ID3,0.8,7,0.4666666666666667
subsample,3,64,False,weight,30,ID3,0.8,8,0.4666666666666667
subsample,3,64,False,weight,30,ID3,0.8,9,0.4666666666666667
subsample,3,64,False,weight,30,ID3,1.0,0,0.3333333333333333
subsample,3,64,False,weight,30,ID3,1.0,1,0.5333333333333333
subsample,3,64,False,weight,30,ID3,1.0,2,0.26666666666666666
subsample,3,64,False,weight,30,ID3,1.0,3,0.36666666666666664
subsample,3,64,False,weight,30,ID3,1.0,4,0.43333333333333335
subsample,3,64,False,weight,30,ID3,1.0,5,0.4
subsample,3,64,False,weight,30,ID3,1.0,6,0.4
subsample,3,64,False,weight,30,ID3,1.0,7,0.26666666666666666
subsample,3,64,False,weight,30,ID3,1.0,8,0.36666666666666664
subsample,3,64,False,weight,30,ID3,1.0,9,0.43333333333333335
subsample,3,64,False,weight,30,ID3,2.0,0,0.43333333333333335
subsample,3,64,False,weight,30,ID3,2.0,1,0.4666666666666667
subsample,3,64,False,weight,30,ID3,2.0,2,0.36666666666666664
subsample,3,64,False,weight,30,ID3,2.0,3,0.3333333333333333
subsample,3,64,False,weight,30,ID3,2.0,4,0.4
subsample,3,64,False,weight,30,ID3,2.0,5,0.43333333333333335
subsample,3,64,False,weight,30,ID3,2.0,6,0.6333333333333333
subsample,3,64,False,weight,30,ID3,2.0,7,0.5666666666666667
subsample,3,64,False,weight,30,ID3,2.0,8,0.5333333333333333
subsample,3,64,False,weight,30,ID3,2.0,9,0.5333333333333333
subsample,4,1,True,hard,30,ID3,0.4,0,0.3
subsample,4,1,True,hard,30,ID3,0.4,1,0.16666666666666666
subsample,4,1,True,hard,30,ID3,0.4,2,0.23333333333333334
subsample,4,1,True,hard,30,ID3,0.4,3,0.3
subsample,4,1,True,hard,30,ID3,0.4,4,0.43333333333333335
subsample,4,1,True,hard,30,ID3,0.4,5,0.5333333333333333
subsample,4,1,True,hard,30,ID3,0.4,6,0.3
subsample,4,1,True,hard,30,ID3,0.4,7,0.4
subsample,4,1,True,hard,30,ID3,0.4,8,0.3333333333333333
subsample,4,1,True,hard,30,ID3,0.4,9,0.5666666666666667
subsample,4,1,True,hard,30,ID3,0.6,0,0.4
subsample,4,1,True,hard,30,ID3,0.6,1,0.6333333333333333
subsample,4,1,True,hard,30,ID3,0.6,2,0.5333333333333333
subsample,4,1,True,hard,30,ID3,0.6,3,0.4666666666666667
subsample,4,1,True,hard,30,ID3,0.6,4,0.26666666666666666
subsample,4,1,True,hard,30,ID3,0.6,5,0.5
subsample,4,1,True,hard,30,ID3,0.6,6,0.2
subsample,4,1,True,hard,30,ID3,0.6,7,0.4
subsample,4,1,True,hard,30,ID3,0.6,8,0.3333333333333333
subsample,4,1,True,hard,30,ID3,0.6,9,0.5333333333333333
subsample,4,1,True,hard,30,ID3,0.8,0,0.5
subsample,4,1,True,hard,30,ID3,0.8,1,0.4666666666666667
subsample,4,1,True,hard,30,ID3,0.8,2,0.4666666666666667
subsample,4,1,True,hard,30,ID3,0.8,3,0.5666666666666667
subsample,4,1,True,hard,30,ID3,0.8,4,0.5
subsample,4,1,True,hard,30,ID3,0.8,5,0.1
subsample,4,1,True,hard,30,ID3,0.8,6,0.36666666666666664
subsample,4,1,True,hard,30,ID3,0.8,7,0.4
subsample,4,1,True,hard,30,ID3,0.8,8,0.36666666666666664
subsample,4,1,True,hard,30,ID3,0.8,9,0.3333333333333333
subsample,4,1,True,hard,30,ID3,1.0,0,0.4
subsample,4,1,True,hard,30,ID3,1.0,1,0.7666666666666667
subsample,4,1,True,hard,30,ID3,1.0,2,0.4666666666666667
subsample,4,1,True,hard,30,ID3,1.0,3,0.4
subsample,4,1,True,hard,30,ID3,1.0,4,0.5
subsample,4,1,True,hard,30,ID3,1.0,5,0.6333333333333333
subsample,4,1,True,hard,30,ID3,1.0,6,0.4
subsample,4,1,True,hard,30,ID3,1.0,7,0.4
subsample,4,1,True,hard,30,ID3,1.0,8,0.4
subsample,4,1,True,hard,30,ID3,1.0,9,0.3
subsample,4,1,True,hard,30,ID3,2.0,0,0.8
subsample,4,1,True,hard,30,ID3,2.0,1,0.7666666666666667
subsample,4,1,True,hard,30,ID3,2.0,2,0.5
subsample,4,1,True,hard,30,ID3,2.0,3,0.8
subsample,4,1,True,hard,30,ID3,2.0,4,0.6
subsample,4,1,True,hard,30,ID3,2.0,5,0.5
subsample,4,1,True,hard,30,ID3,2.0,6,0.43333333333333335
subsample,4,1,True,hard,30,ID3,2.0,7,0.7
subsample,4,1,True,hard,30,ID3,2.0,8,0.23333333333333334
subsample,4,1,True,hard,30,ID3,2.0,9,0.4
subsample,4,1,False,hard,30,ID3,0.4,0,0.43333333333333335
subsample,4,1,False,hard,30,ID3,0.4,1,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.4,2,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.4,3,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.4,4,0.26666666666666666
subsample,4,1,False,hard,30,ID3,0.4,5,0.4
subsample,4,1,False,hard,30,ID3,0.4,6,0.36666666666666664
subsample,4,1,False,hard,30,ID3,0.4,7,0.4666666666666667
subsample,4,1,False,hard,30,ID3,0.4,8,0.26666666666666666
subsample,4,1,False,hard,30,ID3,0.4,9,0.16666666666666666
subsample,4,1,False,hard,30,ID3,0.6,0,0.43333333333333335
subsample,4,1,False,hard,30,ID3,0.6,1,0.2
subsample,4,1,False,hard,30,ID3,0.6,2,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.6,3,0.36666666666666664
subsample,4,1,False,hard,30,ID3,0.6,4,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.6,5,0.26666666666666666
subsample,4,1,False,hard,30,ID3,0.6,6,0.4666666666666667
subsample,4,1,False,hard,30,ID3,0.6,7,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.6,8,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.6,9,0.2
subsample,4,1,False,hard,30,ID3,0.8,0,0.26666666666666666
subsample,4,1,False,hard,30,ID3,0.8,1,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.8,2,0.5
subsample,4,1,False,hard,30,ID3,0.8,3,0.4
subsample,4,1,False,hard,30,ID3,0.8,4,0.4666666666666667
subsample,4,1,False,hard,30,ID3,0.8,5,0.36666666666666664
subsample,4,1,False,hard,30,ID3,0.8,6,0.3
subsample,4,1,False,hard,30,ID3,0.8,7,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.8,8,0.3333333333333333
subsample,4,1,False,hard,30,ID3,0.8,9,0.3333333333333333
subsample,4,1,False,hard,30,ID3,1.0,0,0.36666666666666664
subsample,4,1,False,hard,30,ID3,1.0,1,0.3333333333333333
subsample,4,1,False,hard,30,ID3,1.0,2,0.36666666666666664
subsample,4,1,False,hard,30,ID3,1.0,3,0.3
subsample,4,1,False,hard,30,ID3,1.0,4,0.16666666666666666
subsample,4,1,False,hard,30,ID3,1.0,5,0.26666666666666666
subsample,4,1,False,hard,30,ID3,1.0,6,0.13333333333333333
subsample,4,1,False,hard,30,ID3,1.0,7,0.3333333333333333
subsample,4,1,False,hard,30,ID3,1.0,8,0.4
subsample,4,1,False,hard,30,ID3,1.0,9,0.4
subsample,4,1,False,hard,30,ID3,2.0,0,0.26666666666666666
subsample,4,1,False,hard,30,ID3,2.0,1,0.2
subsample,4,1,False,hard,30,ID3,2.0,2,0.26666666666666666
subsample,4,1,False,hard,30,ID3,2.0,3,0.36666666666666664
subsample,4,1,False,hard,30,ID3,2.0,4,0.23333333333333334
subsample,4,1,False,hard,30,ID3,2.0,5,0.43333333333333335
subsample,4,1,False,hard,30,ID3,2.0,6,0.43333333333333335
subsample,4,1,False,hard,30,ID3,2.0,7,0.3333333333333333
subsample,4,1,False,hard,30,ID3,2.0,8,0.4
subsample,4,1,False,hard,30,ID3,2.0,9,0.43333333333333335
subsample,4,1,True,weight,30,ID3,0.4,0,0.6666666666666666
subsample,4,1,True,weight,30,ID3,0.4,1,0.7
subsample,4,1,True,weight,30,ID3,0.4,2,0.8333333333333334
subsample,4,1,True,weight,30,ID3,0.4,3,0.8333333333333334
subsample,4,1,True,weight,30,ID3,0.4,4,0.7666666666666667
subsample,4,1,True,weight,30,ID3,0.4,5,0.7666666666666667
subsample,4,1,True,weight,30,ID3,0.4,6,0.6333333333333333
subsample,4,1,True,weight,30,ID3,0.4,7,0.6666666666666666
subsample,4,1,True,weight,30,ID3,0.4,8,0.7333333333333333
subsample,4,1,True,weight,30,ID3,0.4,9,0.6
subsample,4,1,True,weight,30,ID3,0.6,0,0.7333333333333333
subsample,4,1,True,weight,30,ID3,0.6,1,0.8333333333333334
subsample,4,1,True,weight,30,ID3,0.6,2,0.7
subsample,4,1,True,weight,30,ID3,0.6,3,0.8333333333333334
subsample,4,1,True,weight,30,ID3,0.6,4,0.7333333333333333
subsample,4,1,True,weight,30,ID3,0.6,5,0.8
subsample,4,1,True,weight,30,ID3,0.6,6,0.9333333333333333
subsample,4,1,True,weight,30,ID3,0.6,7,0.7666666666666667
subsample,4,1,True,weight,30,ID3,0.6,8,0.7666666666666667
subsample,4,1,True,weight,30,ID3,0.6,9,0.7666666666666667
subsample,4,1,True,weight,30,ID3,0.8,0,0.8
subsample,4,1,True,weight,30,ID3,0.8,1,0.8333333333333334
subsample,4,1,True,weight,30,ID3,0.8,2,0.9
subsample,4,1,True,weight,30,ID3,0.8,3,0.7333333333333333
subsample,4,1,True,weight,30,ID3,0.8,4,0.8666666666666667
subsample,4,1,True,weight,30,ID3,0.8,5,0.8
subsample,4,1,True,weight,30,ID3,0.8,6,0.8
subsample,4,1,True,weight,30,ID3,0.8,7,0.7666666666666667
subsample,4,1,True,weight,30,ID3,0.8,8,0.8
subsample,4,1,True,weight,30,ID3,0.8,9,0.7333333333333333
subsample,4,1,True,weight,30,ID3,1.0,0,0.8333333333333334
subsample,4,1,True,weight,30,ID3,1.0,1,0.8333333333333334
subsample,4,1,True,weight,30,ID3,1.0,2,0.9
subsample,4,1,True,weight,30,ID3,1.0,3,0.9333333333333333
subsample,4,1,True,weight,30,ID3,1.0,4,0.8333333333333334
subsample,4,1,True,weight,30,ID3,1.0,5,0.7333333333333333
subsample,4,1,True,weight,30,ID3,1.0,6,0.7666666666666667
subsample,4,1,True,weight,30,ID3,1.0,7,0.9
subsample,4,1,True,weight,30,ID3,1.0,8,0.9
subsample,4,1,True,weight,30,ID3,1.0,9,0.7333333333333333
subsample,4,1,True,weight,30,ID3,2.0,0,0.8666666666666667
subsample,4,1,True,weight,30,ID3,2.0,1,0.8666666666666667
subsample,4,1,True,weight,30,ID3,2.0,2,0.8666666666666667
subsample,4,1,True,weight,30,ID3,2.0,3,0.9
subsample,4,1,True,weight,30,ID3,2.0,4,0.8333333333333334
subsample,4,1,True,weight,30,ID3,2.0,5,0.9666666666666667
subsample,4,1,True,weight,30,ID3,2.0,6,0.9666666666666667
subsample,4,1,True,weight,30,ID3,2.0,7,0.8
subsample,4,1,True,weight,30,ID3,2.0,8,0.8666666666666667
subsample,4,1,True,weight,30,ID3,2.0,9,0.9666666666666667
subsample,4,1,False,weight,30,ID3,0.4,0,0.4
subsample,4,1,False,weight,30,ID3,0.4,1,0.2
subsample,4,1,False,weight,30,ID3,0.4,2,0.5333333333333333
subsample,4,1,False,weight,30,ID3,0.4,3,0.43333333333333335
subsample,4,1,False,weight,30,ID3,0.4,4,0.26666666666666666
subsample,4,1,False,weight,30,ID3,0.4,5,0.4666666666666667
subsample,4,1,False,weight,30,ID3,0.4,6,0.2
subsample,4,1,False,weight,30,ID3,0.4,7,0.4
subsample,4,1,False,weight,30,ID3,0.4,8,0.4666666666666667
subsample,4,1,False,weight,30,ID3,0.4,9,0.3
subsample,4,1,False,weight,30,ID3,0.6,0,0.23333333333333334
subsample,4,1,False,weight,30,ID3,0.6,1,0.36666666666666664
subsample,4,1,False,weight,30,ID3,0.6,2,0.2
subsample,4,1,False,weight,30,ID3,0.6,3,0.5666666666666667
subsample,4,1,False,weight,30,ID3,0.6,4,0.36666666666666664
subsample,4,1,False,weight,30,ID3,0.6,5,0.23333333333333334
subsample,4,1,False,weight,30,ID3,0.6,6,0.3333333333333333
subsample,4,1,False,weight,30,ID3,0.6,7,0.4
subsample,4,1,False,weight,30,ID3,0.6,8,0.23333333333333334
subsample,4,1,False,weight,30,ID3,0.6,9,0.43333333333333335
subsample,4,1,False,weight,30,ID3,0.8,0,0.3
subsample,4,1,False,weight,30,ID3,0.8,1,0.23333333333333334
subsample,4,1,False,weight,30,ID3,0.8,2,0.5
subsample,4,1,False,weight,30,ID3,0.8,3,0.43333333333333335
subsample,4,1,False,weight,30,ID3,0.8,4,0.5666666666666667
subsample,4,1,False,weight,30,ID3,0.8,5,0.36666666666666664
subsample,4,1,False,weight,30,ID3,0.8,6,0.4666666666666667
subsample,4,1,False,weight,30,ID3,0.8,7,0.5
subsample,4,1,False,weight,30,ID3,0.8,8,0.5
subsample,4,1,False,weight,30,ID3,0.8,9,0.3333333333333333
subsample,4,1,False,weight,30,ID3,1.0,0,0.23333333333333334
subsample,4,1,False,weight,30,ID3,1.0,1,0.3
subsample,4,1,False,weight,30,ID3,1.0,2,0.3
subsample,4,1,False,weight,30,ID3,1.0,3,0.3
subsample,4,1,False,weight,30,ID3,1.0,4,0.3333333333333333
subsample,4,1,False,weight,30,ID3,1.0,5,0.4666666666666667
subsample,4,1,False,weight,30,ID3,1.0,6,0.3
subsample,4,1,False,weight,30,ID3,1.0,7,0.36666666666666664
subsample,4,1,False,weight,30,ID3,1.0,8,0.43333333333333335
subsample,4,1,False,weight,30,ID3,1.0,9,0.3333333333333333
subsample,4,1,False,weight,30,ID3,2.0,0,0.4
subsample,4,1,False,weight,30,ID3,2.0,1,0.23333333333333334
subsample,4,1,False,weight,30,ID3,2.0,2,0.4
subsample,4,1,False,weight,30,ID3,2.0,3,0.4
subsample,4,1,False,weight,30,ID3,2.0,4,0.5
subsample,4,1,False,weight,30,ID3,2.0,5,0.5666666666666667
subsample,4,1,False,weight,30,ID3,2.0,6,0.36666666666666664
subsample,4,1,False,weight,30,ID3,2.0,7,0.4
subsample,4,1,False,weight,30,ID3,2.0,8,0.5666666666666667
subsample,4,1,False,weight,30,ID3,2.0,9,0.3333333333333333
subsample,4,4,True,hard,30,ID3,0.4,0,0.36666666666666664
subsample,4,4,True,hard,30,ID3,0.4,1,0.6
subsample,4,4,True,hard,30,ID3,0.4,2,0.43333333333333335
subsample,4,4,True,hard,30,ID3,0.4,3,0.4666666666666667
subsample,4,4,True,hard,30,ID3,0.4,4,0.7
subsample,4,4,True,hard,30,ID3,0.4,5,0.36666666666666664
subsample,4,4,True,hard,30,ID3,0.4,6,0.16666666666666666
subsample,4,4,True,hard,30,ID3,0.4,7,0.4666666666666667
subsample,4,4,True,hard,30,ID3,0.4,8,0.6
subsample,4,4,True,hard,30,ID3,0.4,9,0.4
subsample,4,4,True,hard,30,ID3,0.6,0,0.43333333333333335
subsample,4,4,True,hard,30,ID3,0.6,1,0.5333333333333333
subsample,4,4,True,hard,30,ID3,0.6,2,0.43333333333333335
subsample,4,4,True,hard,30,ID3,0.6,3,0.16666666666666666
subsample,4,4,True,hard,30,ID3,0.6,4,0.5666666666666667
subsample,4,4,True,hard,30,ID3,0.6,5,0.3333333333333333
subsample,4,4,True,hard,30,ID3,0.6,6,0.16666666666666666
subsample,4,4,True,hard,30,ID3,0.6,7,0.4
subsample,4,4,True,hard,30,ID3,0.6,8,0.4666666666666667
subsample,4,4,True,hard,30,ID3,0.6,9,0.26666666666666666
subsample,4,4,True,hard,30,ID3,0.8,0,0.4666666666666667
subsample,4,4,True,hard,30,ID3,0.8,1,0.43333333333333335
subsample,4,4,True,hard,30,ID3,0.8,2,0.6
subsample,4,4,True,hard,30,ID3,0.8,3,0.13333333333333333
subsample,4,4,True,hard,30,ID3,0.8,4,0.4666666666666667
subsample,4,4,True,hard,30,ID3,0.8,5,0.3
subsample,4,4,True,hard,30,ID3,0.8,6,0.3333333333333333
subsample,4,4,True,hard,30,ID3,0.8,7,0.3333333333333333
subsample,4,4,True,hard,30,ID3,0.8,8,0.3
subsample,4,4,True,hard,30,ID3,0.8,9,0.5666666666666667
subsample,4,4,True,hard,30,ID3,1.0,0,0.4666666666666667
subsample,4,4,True,hard,30,ID3,1.0,1,0.5666666666666667
subsample,4,4,True,hard,30,ID3,1.0,2,0.16666666666666666
subsample,4,4,True,hard,30,ID3,1.0,3,0.6
subsample,4,4,True,hard,30,ID3,1.0,4,0.3333333333333333
subsample,4,4,True,hard,30,ID3,1.0,5,0.5
subsample,4,4,True,hard,30,ID3,1.0,6,0.36666666666666664
subsample,4,4,True,hard,30,ID3,1.0,7,0.6333333333333333
subsample,4,4,True,hard,30,ID3,1.0,8,0.6333333333333333
subsample,4,4,True,hard,30,ID3,1.0,9,0.4
subsample,4,4,True,hard,30,ID3,2.0,0,0.8
subsample,4,4,True,hard,30,ID3,2.0,1,0.4666666666666667
subsample,4,4,True,hard,30,ID3,2.0,2,0.7666666666666667
subsample,4,4,True,hard,30,ID3,2.0,3,0.16666666666666666
subsample,4,4,True,hard,30,ID3,2.0,4,0.4
subsample,4,4,True,hard,30,ID3,2.0,5,0.6333333333333333
subsample,4,4,True,hard,30,ID3,2.0,6,0.23333333333333334
subsample,4,4,True,hard,30,ID3,2.0,7,0.3333333333333333
subsample,4,4,True,hard,30,ID3,2.0,8,0.5
subsample,4,4,True,hard,30,ID3,2.0,9,0.6333333333333333
subsample,4,4,False,hard,30,ID3,0.4,0,0.36666666666666664
subsample,4,4,False,hard,30,ID3,0.4,1,0.36666666666666664
subsample,4,4,False,hard,30,ID3,0.4,2,0.3333333333333333
subsample,4,4,False,hard,30,ID3,0.4,3,0.3
subsample,4,4,False,hard,30,ID3,0.4,4,0.4
subsample,4,4,False,hard,30,ID3,0.4,5,0.36666666666666664
subsample,4,4,False,hard,30,ID3,0.4,6,0.4
subsample,4,4,False,hard,30,ID3,0.4,7,0.26666666666666666
subsample,4,4,False,hard,30,ID3,0.4,8,0.4666666666666667
subsample,4,4,False,hard,30,ID3,0.4,9,0.36666666666666664
subsample,4,4,False,hard,30,ID3,0.6,0,0.2
subsample,4,4,False,hard,30,ID3,0.6,1,0.5666666666666667
